Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
LILRA3	NA	NA	NA	NA	27	-0.2385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	3.56	NA	NA	NA	NA	NA	NA	NA	7	NA	4.52859362	NA	NA	NA	NA	NA	NA	0.002925351	NA	10098	NA	NA	1102.81114	NA	0.132359073	0	0	NA	NA	NA	NA	NA	NA	1.18165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
LIMK1	NA	NA	NA	NA	46	-0.272	10.04575749	16.2782	11.0004	12.2942	12.4845	12.6589	8.82749	14.2569	42.8476	84.2938	19.7349	44.588	45.3003	91.2417	104.969	35.2866	58.8983	20.909	17.8504	15.1588	38.8795	14.8717	44.1305	57.5145	37.9334	34.6525	10.1341	10.5345	10.3508	13.516	10.1293	13.2231	6.09254	4.53936	7.49337	11.9066	2.36997	22.2438	21.7038	12.0341	15.9687	23.5212	6.22634	21.9637	19.6163	14.2482	16.5312	14.794	32.4018	9.83694	31.1575	21.2875	21.3157	23.7228	14.8738	0.057882	0.76088591	0.76088591	0	0	0	2	2	2	NA	NA	-0.82	NA	NA	NA	NA	NA	NA	NA	26	72	6.91609969	57	8.84859	61	8.75072	55	33.1716	0.990896287	10	39592	NA	NA	175.30019	1	0.824708164	0	0	NA	NA	NA	NA	NA	NA	1.135573	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	probable
MAP4	0.09	0.285	0.025	NA	6437	0.6727	33	86.2867	67.3978	27.3248	164.004	129.537	137.995	92.8276	88.4649	65.8228	68.0573	83.5501	79.2139	69.7722	75.3059	104.103	104.158	61.1168	76.676	333.105	152.196	63.0877	120.405	52.8438	93.324	91.8597	127.424	54.3097	101.633	45.4077	105.727	80.3908	88.5586	84.8298	27.9862	38.4302	14.8307	78.7163	36.3082	200.526	184.998	67.7834	16.7665	33.3311	55.9802	63.357	73.7471	37.9695	36.8593	32.2114	68.1228	49.1785	91.1268	80.6788	4.66321	0.018185	0.500132259	0	0	0	0.500132259	2	5	2	NA	NA	0.41	NA	NA	NA	NA	NA	NA	1	37	1	9.68123578	214	8.1777	28	4.6107	125	6.94866	0.998848724	9	238587	NA	NA	7952.87694	1	0.273053437	0	0	42.59038116	9.3823	NA	NA	0.988	0.985089211	1.628405	0.32224	0.74766	0.53176	0.20116	0.00842	NA	0.056	0.32873	0.058	0.146	0.68917	probable
MAPK7	NA	NA	NA	NA	51	0.5027	6	26.0605	22.2073	25.8656	31.5413	34.823	40.0485	30.1356	4.60796	4.95127	7.18436	14.4746	16.8721	7.15875	5.49874	4.76884	6.28175	6.9351	6.13229	5.92951	4.67895	25.3533	25.6354	10.6448	45.9539	40.3366	28.6749	23.1946	28.1964	33.7464	26.1099	36.7942	8.60647	5.15131	10.6195	15.2027	3.95268	31.607	16.7776	4.9673	37.9907	38.4863	4.18989	19.0578	24.5233	31.0533	36.4648	21.9541	28.552	13.0885	37.4156	27.0148	40.0909	42.8257	11.1862	0.013468	0.505036002	0	0.477882401	0	0.505036002	2	2	2	NA	NA	-1.31	NA	0	0.0018797	0	0.00205339	0.002	1	1	1	4.52819492	2	7.00851	1	22.8276	1	12.2876	0.232913565	3	5823	NA	NA	121.12067	1	0.654942453	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.521	NA	probable
MAPKAP1	NA	NA	NA	NA	862	-0.5253	15	29.8541	23.4859	36.3519	27.7204	30.4001	36.4371	33.8934	22.017	24.8457	28.8967	25.0554	24.4019	24.9095	27.324	18.7543	18.6999	29.9874	22.8307	16.9649	18.3336	26.42	49.6855	64.1688	40.142	40.0443	44.5463	24.0556	35.7856	25.3754	43.3136	27.1536	20.1719	19.8494	17.0428	16.8132	10.9226	27.7265	20.8527	26.966	27.4249	26.8282	11.0641	17.0492	27.1478	21.5954	23.4656	22.3073	21.1883	22.5735	36.5321	30.4213	33.178	31.4521	8.40043	0.0058925	0.465944823	0	0.465944823	0	0	1	NA	NA	NA	NA	-0.71	NA	0	0.0567043	0.7	0.0495661	0.054	NA	122	477	6.61160851	653	9.08457	320	9.46951	623	11.3435	0.999736598	1	269841	NA	NA	48.85088	1	0.824708164	0	0	NA	NA	NA	NA	1	0.999077263	4.158071	0.85067	0.74766	0.83585	0.80185	0.84207	0.91674	0.706	0.99284	0.97449	0.836	0.97299	probable
MAPT	0.081	0.429	0.041	NA	325	0.4471	48.52287875	6.26795	4.48082	0.874616	1.61622	1.83723	1.11554	3.92853	74.5906	104.119	69.2091	218.883	223.007	161.198	156.714	73.4478	88.7583	73.8715	60.0309	53.0253	59.2277	11.2021	0.443583	0.104208	3.88118	2.56503	12.9793	3.93409	4.78545	7.60363	4.42353	1.79092	2.8254	4.75312	7.07255	1.87272	0.261872	1.26847	4.77708	52.2916	2.72121	1.03295	0.844357	51.9157	7.3642	7.39366	9.01334	1.51765	0.64645	0.847619	7.67509	1.70854	2.1615	2.57574	0.142254	0.0020252	0	0	0	0	0	2	5	2	NA	NA	2.18	NA	0	0.0176656	0.5	0.243978	0.198	24	303	160	27.47563542	99	5.9453	91	3.72129	NA	NA	4.68265E-05	1	133952	NA	NA	4302.22642	1	0.565020561	0	0	NA	NA	NA	1.015189594	1	0.998759702	4.230482	0.94126	0.74766	0.89026	0.93057	0.9456	0.99639	0.803	0.99809	0.92422	0.726	0.71428	probable
MCL1	NA	NA	NA	NA	34	-0.3182	30.69897	226.951	364.869	153.66	384.63	309.891	258.961	195.029	43.0531	39.703	46.3745	64.4255	62.5929	42.2963	42.8348	38.0123	52.4578	41.1804	38.7478	75.4894	57.9249	241.312	313.954	246.511	190.076	181.718	206.08	180.753	227.799	250.967	224.059	237.898	97.9472	69.0552	82.7396	123.666	108.978	474.739	197.911	110.208	293.958	176.66	98.1407	143.494	149.122	298.591	272.276	200.194	283.047	158.097	89.6183	218.579	211.453	241.312	376.547	0.030992	0.50386494	0	0	0	0.50386494	2	5	2	NA	NA	-0.18	NA	NA	NA	NA	NA	NA	3	19	23	9.69401325	51	10.8637	57	78.7961	33	15.47	0.950092967	3	5034	NA	NA	40.92143	NA	0.700975537	1	0	NA	NA	NA	NA	0.999	0.998626446	4.140067	0.71026	0.74766	0.53776	0.56431	0.62439	0.42885	0.354	0.88881	0.49826	0.989	0.58546	probable
MDK	NA	NA	NA	NA	1167	0.6824	12.52287875	24.0583	20.2521	47.2146	10.7193	15.9755	8.62068	30.1293	7.44232	8.53356	5.68608	12.039	20.3117	8.79438	7.73937	5.56625	13.6286	10.1968	5.57935	8.77922	9.07863	47.8949	19.8701	3.75173	321.088	345.43	25.7164	32.4268	12.2908	18.137	11.0415	147.746	10.1845	2.65604	6.28383	15.2751	1.80633	30.1302	73.0428	1.85838	114.24	399.498	5.87792	223.191	87.9144	10.2703	13.5647	48.9653	25.1307	18.3027	16.9054	19.3921	145.375	64.3092	1.02203	NA	0.510988601	0	0	0	0.510988601	2	2	3	NA	NA	0.06	NA	0.333333	0.24148	0.445701	0.202074	0.222	3	3	NA	2.93755893	3	5.35738	3	12.7498	6	12.584415	0.022432784	NA	3069	NA	NA	4.23961	1	0.767147124	0	0	NA	NA	NA	NA	NA	NA	0.576613	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	NA	probable
MGC10955	NA	NA	NA	NA	50	-0.6337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.047001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	922	NA	NA	3.53068	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.890417	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0211	NA	least likely
MLH1	0.292	0.079	0	NA	45	-0.3807	NA	22.1081	19.1258	18.9527	26.9871	26.4311	27.7408	25.3027	9.24029	10.2139	10.6421	24.6676	22.3213	11.7406	12.2828	9.9524	13.0828	12.0934	9.16342	17.8907	11.8173	22.1103	33.8103	48.5219	33.0985	31.1364	23.9729	16.1712	21.6769	15.0006	22.4449	27.3257	18.0085	18.4444	9.69034	14.5538	9.20037	24.9104	13.8581	23.4905	28.6578	25.2801	8.30974	33.386	24.8242	16.4298	17.3226	17.4858	23.8969	14.7562	44.4973	27.9794	29.3913	21.3956	6.61225	0.01338	0.52395663	0	0	0	0.52395663	2	5	2	NA	NA	0.51	NA	NA	NA	NA	NA	NA	1	18	18	8.26567547	72	5.06581	9	30.3766	120	10.5434	0.739578311	7	72557	NA	NA	1715.16552	1	0.650545239	0	0	8.332278989	NA	NA	NA	0.997	0.999098236	4.515604	0.67699	0.74766	0.84378	0.7256	0.72506	0.79712	0.759	0.97279	0.73137	0.924	0.83678	probable
MME	0.332	0.821	0.737	NA	1040	-0.3382	11	24.0061	11.2081	0.206853	0.568211	2.06998	0.556346	2.02668	0.0896445	0.177329	5.8447	0.162201	0.129506	0.209305	0.231173	0.0537097	0.102097	1.4801	4.32828	0.210303	0.0665395	22.2898	640.484	0.0780681	2.21937	1.84247	0.272775	0.285783	2.76151	0.35745	1.07007	1.57504	0.573395	0.675854	37.7336	5.5963	5.8127	20.2825	5.13685	7.75724	42.942	0.582073	0.122499	0.501727	24.7458	1.34342	1.4378	17.72	2.46636	0.424278	0.921413	1.02491	0.988426	7.77812	22.1759	0.0036839	0.51454177	0	0	0	0.51454177	3	NA	NA	NA	NA	-0.69	NA	0.0967742	0.0270696	0.383333	0.0153021	0.017	NA	36	530	12.90950108	86	7.7129	22	17.8073	119	8.99719	2.19309E-08	22	159584	NA	NA	140.44703	NA	0.743839204	1	0	NA	NA	2.5	NA	NA	NA	1.335738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	most likely
MPL	NA	NA	NA	NA	712	-0.2642	11	0.497686	0.263	0.119206	0.275235	0.289176	0.358385	0.336677	0.174319	0.194348	0.188154	0.114489	0.132256	0.46165	0.340789	0.151407	0.155904	0.190185	0.160335	0.321868	0.223188	0.389786	0.0229178	0.0381268	0.237462	0.427591	0.290715	0.173412	0.359216	0.162065	0.322863	0.349282	0.206185	0.156147	0.104454	0.143345	0.0398599	0.648046	0.163195	0.07284	0.610485	0.735112	0.114081	0.285176	0.266483	0.20333	0.218216	0.140475	0.252172	0.146152	1.47414	0.481481	0.482091	0.222793	0.170651	0.069571	0.894080968	0.894080968	0.395367293	0	0.508043786	2	5	3	NA	NA	-0.53	NA	0	0	1	0.00121912	0.001	1	4	NA	5.8717989	23	5.14396	9	11.3745	21	6.82098	1.43928E-06	6	14965	NA	NA	264.93653	NA	0.597733259	0	0	NA	NA	NA	NA	NA	NA	0.522397	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.589	NA	probable
MTHFR	0.197	0.082	0	NA	1	NA	103.39794	12.1655	12	9.64992	11.8061	13.0307	13.1043	11.1002	4.17946	5.5384	5.05707	14.5074	15.5623	8.11394	7.05904	4.59052	5.68627	5.28859	4.04465	5.24998	3.9282	11.4122	7.67904	8.69039	10.9404	15.8835	11.9004	9.61494	12.7525	8.74434	10.8396	14.8533	14.7015	8.5043	8.27033	8.2701	4.96152	21.4985	5.89974	6.68766	23.971	25.6356	4.13256	20.1781	12.623	12.1435	12.9163	13.7887	21.3485	11.1363	15.5602	20.5758	13.642	9.46902	5.16997	0.011058	0.509669043	0	0	0	0.509669043	2	5	2	NA	NA	0.09	61	NA	NA	NA	NA	NA	5	37	210	1.99733796	175	10.5996	108	8.00741	136	14.6606	2.45516E-07	3	21197	NA	NA	4524.99996	1	0.37917918	1	0	NA	NA	7.125	NA	0.991	0.21886227	1.02778	0.00787	0.48965	0.06666	0.09604	0.35071	0.16971	0.008	0.00653	0.99124	0.7	0.01124	probable
MTNR1B	0.06	0.341	0	NA	21	-0.1934	174.2218487	0	0	0	0	0	0	0	0.00904824	0	0.0376929	0	0	0	0	0	0.0328989	0.111906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.658488	0	0	0	0	0.083146	0.501552105	0	0	0	0.501552105	2	4	2	NA	NA	-0.02	179	NA	NA	NA	NA	NA	1	22	NA	1.74820254	NA	NA	NA	NA	NA	NA	0.00870273	1	15346	NA	NA	324.5184	NA	0.501750886	1	2	NA	NA	NA	NA	NA	NA	1.693683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
MTRNR2L5	NA	NA	NA	NA	58	0.505	NA	0	0	0.0930855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15158	0.50000163	0	0	0	0.50000163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.99932516	NA	NA	NA	NA	NA	NA	NA	NA	1738	NA	NA	1618.50988	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.507198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
MTRNR2L6	NA	NA	NA	NA	57	-0.4319	NA	0.0714402	0.0761738	0.153384	0.0508139	0.0749615	0.083788	0.101258	0.481583	0.360191	0.353525	0.222933	0.197791	0.294439	0.332209	0.423472	0.380377	0.426236	0.405771	0.340622	0.430895	0.0760242	0.0433487	0.0765022	0.0521858	0.0838689	0.104385	0.0973575	0.104164	0.0619364	0.104703	0.0888322	0.161113	0.184322	0.180673	0.177216	0.101044	0.0895428	0.0387833	0.0994988	0.0891853	0.045194	0.125842	0.081244	0.111934	0.0767325	0.0801431	0.0783508	0.0665608	0.108291	0.131827	0.0753459	0.0542355	0.0692905	0.049727	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	1.9940426	NA	NA	NA	NA	NA	NA	NA	NA	1446	NA	NA	4.81382	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.45055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
MYH6	0.146	0.412	0	NA	1	NA	99.69897	0.422143	0.456975	0.300026	0.465128	0.676706	0.535532	0.0343189	0.322459	0.244716	0.297553	0.218098	0.306672	0.398329	0.278063	0.266582	0.318284	0.268455	0.184773	0.296275	0.232443	0.378656	0.149247	0.483849	0.14253	0.0966388	0.520606	0.311395	0.49402	0.221977	0.464335	0.0888147	4609.46	334.605	0.175347	0.0242671	0.169688	0.585633	0.522159	53.3219	0.616046	0.272356	0.238513	5.64919	0.68101	0.537685	0.534625	0.238277	0.17369	0.246863	0.428808	0.519857	0.397329	0.53463	0.299572	0.003148	0.605076447	0	0.558572271	0	0.605076447	1	NA	NA	NA	NA	-2.78	NA	0	0	0.883333	6.44122	0.003	1	18	1	7.02337534	NA	NA	NA	NA	NA	NA	1.27599E-17	20	26287	NA	NA	5098.77916	1	0.495365709	1	0	NA	NA	NA	0.818066318	NA	NA	1.209582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
MYH7	NA	NA	NA	NA	1	NA	14.15490196	1.29477	1.09988	0.672952	1.29798	1.68949	1.65769	0.0876439	1.40899	1.91273	3.12048	0.738062	1.16295	2.44595	2.23013	1.44561	4.89957	3.13239	2.41714	1.19797	1.10184	1.01418	0.556524	1.02557	0.134055	0.209592	1.25267	0.73523	1.21497	0.595611	1.15456	0.18153	592.177	4513.66	0.34738	0.139856	0.496362	1.53522	2.50342	3692.76	1.67845	0.790827	5.29944	3.03324	1.08312	1.34567	1.39212	0.802556	0.471749	0.76148	2.69373	1.23656	0.930782	1.16286	0.917357	0.12532	0.957427108	0.957427108	0	0	0	1	NA	NA	NA	NA	-3.64	NA	0	0.000313283	0.383333	0.00166923	0.001	NA	46	NA	5.87436508	NA	NA	NA	NA	NA	NA	0.000145766	17	22980	NA	NA	108.56923	1	0.631864309	0	0	5.692676737	NA	NA	0.440898035	NA	NA	1.387943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
MYH7B	NA	NA	NA	NA	31	-0.178	254.2218487	1.25414	1.09903	0.611083	2.16958	1.74013	1.47707	1.5208	4.14178	4.04753	4.47191	7.23268	6.97462	7.60996	7.69628	4.77155	4.67651	2.99072	4.58126	8.77641	6.26326	1.44107	0.306615	0.410157	4.2252	2.93465	1.81584	1.19987	1.39208	0.551587	1.26079	2.94032	49.4178	78.5083	0.987793	1.71252	0.619648	1.5344	0.755169	9.4704	6.16515	4.63804	0.519057	4.1206	2.46455	0.903589	0.882577	1.26178	1.28454	0.618335	32.7457	4.34803	3.76701	1.74005	0.243691	0.099276	0.501843027	0	0	0	0.501843027	1	NA	NA	NA	NA	-0.89	NA	0	0	0.0666667	0	0	1	36	14	2.98610432	NA	NA	NA	NA	NA	NA	1.33081E-23	18	27034	NA	NA	2287.01575	NA	0.781591654	0	0	NA	NA	NA	NA	NA	NA	1.716351	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.432	NA	probable
MYO9B	0.182	0.432	0.022	NA	40	-0.3687	63	42.9337	35.1047	29.945	88.335	62.7471	75.9654	46.0387	13.4555	11.1321	13.0353	41.7135	50.9506	18.39	14.3557	17.7177	17.5667	9.71297	13.0524	56.9294	21.8368	35.2525	46.6172	105.092	64.1449	64.3439	46.1079	33.854	35.9496	24.4118	34.2849	39.4992	15.9081	10.7193	10.2196	13.0271	11.9914	74.7211	24.7579	6.37271	56.9569	27.5759	8.59824	26.0401	46.0111	26.8911	29.4218	45.023	115.293	23.8322	81.3088	33.8677	59.0941	46.2679	65.413	0.045282	0.504688016	0	0	0	0.504688016	3	NA	NA	NA	NA	-0.86	NA	NA	NA	NA	NA	NA	8	176	1586	7.54165982	389	8.80628	142	6.45634	315	13.3757	0.999998877	5	138755	NA	NA	547.26349	1	0.792072892	0	0	NA	8.8056	NA	0.571084641	1	0.998886326	4.418075	0.92373	0.74766	0.97584	0.88355	0.90521	0.96662	0.883	0.96776	0.97996	0.972	0.74118	most likely
NBPF6	NA	NA	NA	NA	784	0.5874	10.22184875	0	0	0	0.0279867	0.0385858	0.0502702	0	0	0	0.0463018	0	0	0	0	0.00817084	0	0.0105539	0.0614642	0	0	0.0318159	0	0	0	0	0	0.0146299	0	0	0	0	0	0	0	0	0	0	0	0	0.0287844	0	0	0.292167	0	0	0	0.32881	0.0181522	0	1.51697	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0	NA	NA	NA	NA	NA	NA	0.087453851	NA	95203	NA	NA	3780.70014	1	0.111908376	0	0	NA	NA	NA	NA	0.987	NA	0.897585	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.266	NA	least likely
NDUFA2	0.02	0.388	0	NA	37	-0.4375	9.698970004	46.5403	49.2134	70.5451	45.3123	49.5081	46.4917	41.1873	44.6516	51.1514	46.5659	56.249	47.8658	43.2393	57.4096	41.5414	50.944	50.2741	43.7723	50.4914	49.2105	48.5131	50.434	83.4268	42.3076	48.3925	46.5557	46.4646	43.614	42.2322	42.7319	50.4535	46.4213	51.5371	52.029	66.4913	39.1901	45.5502	45.3135	59.7012	48.2905	50.3087	19.3938	61.6546	53.5864	35.7445	36.9118	43.809	50.8741	46.3662	79.8628	57.7939	41.7234	42.2308	25.2147	0.0053679	0.504575901	0	0	0	0.504575901	1	NA	NA	NA	NA	0.19	NA	NA	NA	NA	NA	NA	2	12	16	2.00140612	82	12.1361	37	29.4289	33	9.02497	0.339536516	4	9045	NA	NA	11.36697	1	0.432313383	0	0	NA	NA	NA	NA	NA	NA	2.122316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
NDUFS3	NA	NA	NA	NA	256	-0.4045	20.39794001	38.3341	34.7776	54.8533	37.1929	38.357	38.1845	40.1896	41.1691	51.3875	72.3401	77.6744	67.6211	54.5278	68.7026	41.3725	49.4077	60.0823	68.7925	36.3436	47.1296	37.007	49.0399	62.5508	38.3326	43.8178	50.0783	55.9096	41.9851	46.5139	42.1489	37.3734	41.2143	61.7201	36.7924	57.1115	28.5577	37.2514	38.2217	78.5766	41.0213	34.488	17.0321	54.4568	37.661	42.8097	44.6657	46.963	43.9076	42.5984	48.6447	47.3864	42.6899	40.0514	13.2736	NA	0.504860922	0	0	0	0.504860922	1	NA	NA	NA	NA	-0.16	NA	NA	NA	NA	NA	NA	3	3	1	5.62602042	31	7.38494	33	17.1998	18	8.74434	0.047137034	1	19226	NA	NA	27.09868	1	0.320700407	0	0	NA	NA	NA	NA	NA	NA	1.727589	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.405	NA	probable
NEDD4L	NA	NA	NA	NA	102	0.3845	21.69897	3.10252	3.15032	5.59453	1.24089	0.92234	0.501856	9.38027	5.34008	8.95569	11.0811	26.6029	21.6175	12.3075	14.4233	7.19049	5.52555	12.7311	10.2391	2.16517	3.98963	7.60355	1.52243	3.8322	3.014	3.73995	12.5465	13.9843	5.91067	3.6228	6.07496	2.24275	5.9425	4.13338	12.514	12.882	2.45612	24.1075	13.5728	8.13512	5.80764	2.99639	7.40556	16.2123	26.4205	4.73592	5.15108	8.80532	2.429	18.1119	4.1627	9.27558	3.94841	2.53459	1.07456	0.016567	0.899703515	0	0.899703515	0	0.511653769	3	NA	NA	NA	NA	-1.2	NA	NA	NA	NA	NA	NA	9	337	2907	7.68047773	1747	8.55226	329	9.23749	975	10.735	0.999966646	11	357173	NA	NA	42.02222	NA	0.824708164	1	1	NA	NA	2.5	0.766814937	NA	NA	2.039002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	most likely
NEUROD4	NA	NA	NA	NA	656	-0.5093	5.522878745	0	0	0.00887582	0	0	0	0	0	0.0124118	0	0	0	0.015856	0.0164832	0.013101	0.00548272	0	0	0	0.00423521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6431	0	0	0	0	0	0	1.11565	0	0	0	0	0.0025493	0.500328933	0	0	0	0.500328933	NA	NA	NA	NA	NA	0.88	NA	0	0.000313283	0.718121	0.00771307	0.006	NA	5	1	0	NA	NA	NA	NA	NA	NA	0.140552619	1	10069	NA	NA	133.06333	NA	0.444330692	0	0	NA	NA	NA	NA	0	0.268978946	0.76578	0.01468	0.09366	0.06369	0.01365	0.49021	0.02627	0.06	0.00579	0.14033	0.806	0.00961	least likely
NOS3	0.057	0.397	0	NA	32	0.2836	48.69897	14.6161	19.5311	4.97365	5.2202	14.7229	6.16863	10.6256	2.08454	2.11421	2.44815	1.36719	2.68225	4.28767	2.41465	2.24252	2.88182	2.02985	2.48362	4.02391	3.69315	15.9128	0.643971	0.235102	8.13735	11.9562	5.47174	5.04952	8.03375	5.27304	7.02806	13.4901	8.83257	6.27665	5.76301	15.0016	1.8293	13.5472	5.06759	1.81251	14.9487	3.85425	1.35933	8.49258	8.66321	4.40868	4.92346	6.75301	75.4787	4.35057	13.1943	14.599	16.6283	10.7685	0.22183	0.15419	0.957427108	0.957427108	0.882196062	0	0.517214041	2	5	3	NA	NA	-1.1	57	0	0.00744819	0.75	0.0018622	0.003	1	28	26	9.79939448	316	11.9665	119	13.7748	141	10.7555	2.21161E-05	3	23593	NA	NA	363.12652	1	0.636561334	1	0	5.762774911	NA	3.25	1.148325837	0.003	0.848109364	1.563114	0.02945	0.4811	0.07786	0.20672	0.25975	0.08945	0.056	0.0372	0.73137	0.839	0.1651	probable
