Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SDI	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	SIFT	PolyPhen	LoFtool	CADD_raw	DANN_score	Eigen-raw_coding	GERP++_NR	GERP++_RS	GenoCanyon_score	M-CAP_score	MetaLR_score	MetaSVM_score	MutationAssessor_score	DEOGEN2_score	PROVEAN_score	MutPred_score	REVEL_score	FATHMM_score	fathmm-MKL_coding_score	integrated_fitCons_score	GERP_Rankscore	PMIDB_Metabolite_interactor	interaction	SignalValue_H3k27me3_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	BPlabel
PDLIM5	0.191	0.547	0.444	NA	37	0.3601	24	28.3402	24.4724	12.5765	82.8172	77.3584	99.8549	32.2186	9.93567	9.07066	10.6651	4.64825	5.85617	7.10146	7.13782	6.50292	10.7134	11.0206	7.63319	9.3514	9.8658	26.0854	27.034	7.62124	27.3292	26.1323	25.5497	16.8564	22.585	27.9302	24.2917	40.6684	67.2611	77.6466	11.0491	11.5352	11.4972	21.2621	25.379	109.626	26.6973	20.3236	6.36486	11.8023	43.2194	15.4387	19.404	15.3655	10.0522	11.5241	8.13171	17.7245	93.3179	26.162	3.10998	0.087223	-0.705384	0.481644	0.154482	0.336955	-0.108205	-0.159494	-0.147811	0.149786	-0.419559	0.132971	0.214522	0.164092	-0.676459	-0.653011	0.139417	0.180796	0.38921	1.57278	-0.124068	0.340769	-0.32179	-0.17199	0.329098	-0.415078	0.290749	0.070602	0.080717	-0.077364	-1.67049	0.390941	-0.088051	-0.332896	0.204939	0.073561	0.205175	0.336352	-0.324973	-0.742005	-0.161424	0.127376	1.151047	0.463596	0.118192	0.119685	0.05893	-0.742208	-0.356577	-0.50738	0.0025224	0.545042391	0	0.545042391	0	0.503685116	NA	NA	NA	NA	NA	1.34	NA	0	0.0858396	0.75	0.0294364	0.041	6.97589348	7.69688	4.85633	6.11448	0.0122782806115329	12	216340	NA	NA	220.34888	1	0.306420118	1	1	NA	NA	NA	NA	0.73	0.889	0.681	2.182391	0.996197877110949	0.20771374803944	5.02	4.08	0.999999877901716	0.042604	0.166	-0.9285	1.995	0.165565	0.02	0.256	0.083	0.62	0.94836	0.722319	NA	FALSE	NA	NA	7.17254	2.1341	520	3.03641	possible
PER1	0.03	0.168	0	NA	14	0.6378	15.698970004336	223.208	155.496	60.331	181.697	152.778	282.737	147.88	15.1948	17.874	20.5953	51.9921	67.2112	33.943	24.5959	16.2155	18.2099	19.6305	16.1737	24.0062	14.2734	189.491	36.8573	21.8478	171.52	150.058	162.598	75.5896	183.925	68.583	160.569	247.283	65.0445	40.1906	46.0841	37.3084	40.5436	170.114	82.3744	139.285	280.103	296.807	36.5766	156.28	147.23	277.02	284.928	75.3085	83.6926	82.4544	67.348	187.497	162.554	149.181	62.7472	-0.659007	-0.169278	-0.434233	-0.705902	-0.577343	0.214813	1.184848	0.411528	0.414424	0.636042	0.378867	0.230737	0.454336	-1.29967	-1.641996	0.500365	0.488218	-0.570751	2.261003	0.470458	-0.248643	-0.696432	0.243921	-0.206078	-0.383809	0.576725	0.119734	-0.218884	-0.13646	0.395796	-0.374469	-0.991721	-0.550444	0.133762	0.316665	-1.681479	0.598297	-1.266386	-1.52936	-0.880257	0.271843	-0.29224	-0.387869	-0.200733	-0.445908	0.509757	1.395587	1.118787	-0.152432	NA	0.504909128	0	0	0	0.504909128	2	5	3	NA	NA	-1.89	NA	NA	NA	NA	NA	NA	3.66240179	8.26201	10.5389	16.015	0.875748961589664	4	16034	NA	NA	289.79879	NA	0.693781972	0	0	NA	NA	NA	NA	0.36	0.996	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.09345	11.3409	1.31567	21	4.45067	probable
PGR	0.019	0.431	0	NA	783	-0.4597	7.52287874528034	3.02304	1.24048	1.69834	13.6982	9.16764	13.8671	3.05414	0.263372	0.22836	0.368416	0.190787	0.276413	0.355861	0.257196	0.336712	0.731437	0.239246	0.308606	0.606114	0.540043	3.54968	0.0966189	0.00860162	75.8812	111.013	5.11478	1.8001	3.3462	0.366293	4.02383	45.1429	2.41109	1.75748	0.861067	0.681998	0.108455	2.75582	0.982692	0.422668	2.44132	19.0705	0.161084	1.64211	5.60351	0.507249	0.88155	0.836704	1.44911	0.541913	2.14859	1.32249	80.6411	18.3565	0.00555133	-0.255749	-0.360782	-0.46555	0.182351	0.357575	0.348745	-0.974467	-2.179083	0.313097	0.487972	-0.329037	-0.527868	0.616372	-0.248773	-0.457245	0.922083	-0.937033	1.24024	-1.192119	-1.552031	-1.488414	NA	0.246874	-0.099735	0.172027	0.829757	-0.165998	0.145262	-0.130181	1.327253	-0.556822	-0.193487	-0.371185	-0.314354	-0.202454	-0.232015	0.661958	2.758929	2.18207	0.33032	-0.229227	-0.581056	-0.309937	0.661339	-0.198626	-0.209987	-5.072872	2.366087	NA	0.2415	0.503078999	0	0.477894065	0	0.503078999	3	NA	NA	NA	NA	NA	NA	0	0.00664978	1	0.00192988	0.003	2.94475488	3.29409	11.349	NA	0.884782623229294	0	100900	NA	NA	1363.72417	1	0.833875239	1	2	NA	NA	NA	NA	0	0.999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37806	NA	NA	9.38653	NA	1.20848	NA	NA	most likely
PHACTR1	NA	NA	NA	NA	609	-0.5123	103.397940008672	1.52113	2.1357	0.440724	9.916	4.28978	11.1429	1.51668	7.67659	15.6719	15.3203	5.62494	5.61921	19.6148	21.7289	6.51505	5.58234	25.4206	11.6769	3.63056	2.43923	1.39082	1.54194	19.0303	1.49205	1.26395	0.817226	0.798124	1.02166	0.693224	0.693205	1.81364	1.86135	5.951	0.960079	4.46489	0.245544	8.36984	0.714733	0.24739	1.62739	1.43448	1.55656	4.07433	1.15231	1.54177	1.84527	1.72535	4.12402	1.01305	1.83402	1.04472	1.26284	1.16339	2.93982	-0.309437	0.181382	-0.535303	-0.335775	-0.627813	-0.655653	0.291524	0.62266	-6.643856	-0.338568	-0.834343	0.236576	0.191098	-1.90265	1.317577	0.254467	0.068015	-0.417999	0.33134	0.582704	0.480413	-1.873139	-0.225498	-0.285309	-0.213196	-0.208896	-0.286943	0.578199	0.249833	0.423971	-6.643856	-0.226276	-0.349631	-0.262642	0.363522	0.331543	0.182717	0.183867	-0.284571	0.207674	0.167035	-0.165358	0.207248	0.465242	-0.20087	-0.279437	-0.310181	0.614392	-0.473996	0.14249	0.500038046	0	0	0	0.500038046	NA	NA	NA	NA	NA	NA	143	0	0.0335213	0.285714	0.0401849	0.039	3.97250131	7.68704	9.83862	10.0998	0.664117315162539	8	570752	NA	NA	15.56557	1	0.209607884	0	0	NA	NA	NA	0.33596723	0.01	1	NA	4.286904	0.998309477678173	0.790006503809064	5.76	5.76	0.999999226469827	0.107607	0.1429	-0.8862	1.975	0.448937	-4.37	0.256	0.34	1.31	0.99313	0.706298	0.90726	NA	NA	1.83483	8.20373	1.43641	435	1.69244	probable
PIK3R3	0.129	0.391	0	NA	35	0.2222	10	37.9849	33.6412	11.9342	6.70329	12.478	10.1232	17.0007	6.81515	8.99439	7.18614	69.5204	62.8043	10.0548	11.5923	5.21461	9.64138	6.16807	6.07477	7.77374	8.49927	32.9487	0.618183	13.2168	10.7817	15.2732	8.6883	7.09538	16.3425	4.76504	14.3893	17.0934	12.3672	13.0347	6.14034	15.4689	1.15447	25.0774	15.5275	6.67708	19.5988	5.1896	2.2761	11.9708	16.7064	5.31281	7.64643	9.3967	13.2094	8.52587	43.0607	23.3868	23.4752	8.19786	0.304676	0.209165	0.574001	-0.357709	1.179109	1.217131	0.316091	0.633141	1.196167	-0.611631	-0.153294	-1.119928	0.230452	-1.926348	-1.367599	-1.015879	-0.223101	-0.820988	0.637321	0.588373	0.608337	0.477326	0.440281	0.295134	-0.956088	-0.708057	0.137587	-0.989028	0.303717	-0.611135	-6.643856	0.326742	-0.30787	0.284113	0.801708	0.311319	0.478031	0.634938	-6.643856	-3.468929	-1.09112	0.273259	-0.421495	-0.582572	-0.588969	-0.101408	0.642175	0.697039	-0.796477	0.294894	0.0059804	0.507348883	0	0	0	0.507348883	2	5	3	NA	NA	-0.09	NA	NA	NA	NA	NA	NA	1.99990361	8.74898	12.9775	9.67285	1.40585793273596e-06	36	136348	NA	NA	76.83464	NA	0.71511656	0	0	NA	NA	NA	NA	0.02	0.461	0.485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47661	NA	NA	2.04504	17.1669	1.37416	142	1.90273	probable
PKD1L3	NA	NA	NA	NA	47	-0.312	21.301029995664	0.217285	0.378185	0.128442	0.131148	0.138451	0.0572142	0.09231	0.0230773	0.0305541	0.0372493	0.134215	0.169802	0.0467304	0.0433713	0.0305252	0.0377164	0.0383451	0.0266195	0.0356742	0.0243295	0.168476	0.013519	0.0173583	0.0606698	0.0982432	0.090935	0.0948609	0.109003	0.0451135	0.102042	0.221323	0.270404	0.0272004	0.0549654	0.0735529	0.570161	0.22902	0.087814	0.0329653	0.278226	0.163633	0.0243586	1.0015	0.0955033	0.0674821	0.081443	0.429006	0.181522	0.086574	1.39554	0.280392	0.0876073	0.0780521	0.0444739	-3.745041	0.494991	-1.875263	-2.623157	1.378184	2.369656	NA	NA	NA	-1.844763	1.024861	NA	NA	NA	NA	NA	NA	NA	NA	-6.643856	NA	NA	-1.468623	-0.972934	-1.076224	NA	-1.251084	0.515933	NA	NA	0.800439	-2.218933	-3.8448	NA	2.836727	3.271395	NA	0.525578	-1.408753	0.579958	1.518714	-1.108437	-1.312948	0.971484	0.476908	0.624119	-6.643856	1.41935	-0.590208	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.95345819	6.44466	13.2644	14.4739	NA	NA	70436	NA	NA	NA	1	NA	0	0	NA	0.018678	NA	NA	0.2	1	NA	2.516631	0.682346508698455	NA	5.53	4.43	0.999979842894962	NA	NA	NA	0.55	0.012243	NA	NA	NA	NA	0.63529	0.067858	0.84021	NA	NA	2.82965	10.2688	2.38151	51	3.42948	probable
PKD2L1	NA	NA	NA	NA	35	-0.2666	115	0.135572	0.103832	0.0585381	0.0960632	0.118288	0.0479799	0.0532173	0.058825	0.53213	0.11974	0.0423379	0.0416497	2.3955	2.85067	0.271633	0.074896	0.176767	0.0945043	0.150846	0.0631011	0.0901876	0	0.029756	0.0320197	0.0349666	0.0226225	0.131996	0.0330822	0.0259421	0.032442	0.0469471	0.00961757	0	0.181666	0.0271238	0.191789	1.1434	0.067202	0.0108064	0.103261	0.0761553	0.0380539	0.0874236	0.26497	0.0334626	0.0337304	0.194807	3.02365	0.0303225	4.34285	0.0320859	0.0328359	0.0426437	0.0686577	1.16041	1.2168	1.399539	1.862803	-6.643856	-0.856722	-6.643856	-0.607843	-6.643856	NA	NA	-0.542704	1.002076	-1.685181	-0.948222	-2.012835	0.812461	-1.904224	-1.88119	-0.843818	NA	NA	NA	1.777298	NA	NA	NA	NA	NA	-1.143436	-6.643856	2.531389	-1.701758	NA	-1.0194	0.786371	NA	-0.73454	-1.285076	NA	NA	1.527124	1.840323	NA	-0.681139	NA	NA	NA	3.027925	NA	0.553803217	0	0	0	0.553803217	3	NA	NA	NA	NA	1.01	NA	0	0	0	6.41643	0	9.90845216	11.0339	31.3899	18.1485	6.57113540225805e-17	9	42340	NA	NA	3481.90583	NA	0.250911236	0	0	NA	NA	NA	NA	0.27	0.878	0.632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.60909	NA	NA	5.12496	26.2701	NA	2	4.40994	most likely
PLA2G1B	NA	NA	NA	NA	56	0.4133	NA	0.300128	0.547445	5.62176	0.924134	0.868579	0.269656	2.52171	0.224792	0.280391	0.184772	0.365363	1.16249	0.286056	0.311981	0.258208	0.411851	0.171192	0.164532	0.324642	0.280089	0.688566	0.513983	0.825902	3.50083	1.82679	0.530061	0.941837	0.367824	1.40997	0.71905	3.03872	0.266072	0.192174	1.15093	1.0756	1.61753	11.578	0.831856	0.160699	0.447932	9.96429	18290.1	3.77906	1.18844	0.386612	0.313939	1.51941	1.89976	4.86179	6.81154	0.610458	1.52151	1.06867	0.115066	2.471305	-6.643856	-0.469449	6.643856	1.833822	-0.791136	2.16899	-3.980966	-6.643856	1.506284	4.068692	-6.643856	4.373908	4.625261	3.261929	-6.643856	5.590151	4.439217	-1.221113	4.361848	2.313768	-4.068317	2.147542	2.945032	-1.719552	-1.144821	1.094839	1.252881	2.692196	1.737884	1.32124	0.744116	3.943269	1.608544	0.923171	0.844368	0.393034	1.571278	2.309772	-2.490391	2.084236	0.974024	-5.845474	0.644298	1.579627	-6.643856	-3.734645	-1.784899	-2.551155	0.022345	0.515877027	0	0	0	0.515877027	2	5	2	NA	NA	-0.16	NA	0.833333	0.00469925	1	0.00661401	0.007	4.93580207	6.75605	17.6629	13.2912	3.64893028626161e-11	5	5678	NA	NA	22.08097	NA	0.348049432	0	0	NA	NA	NA	NA	NA	NA	0.831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.08073	13.7497	NA	22	1.4783	probable
PLCD3	NA	NA	NA	NA	19	-0.3874	31	19.0271	15.1595	40.4021	55.4561	29.7386	29.7899	38.2365	20.2114	21.0335	22.1272	19.2293	26.5598	22.5965	19.4284	18.0353	20.8771	11.8409	19.5016	30.7186	35.3559	17.3433	16.6327	0.579364	18.312	22.2463	24.3097	33.2663	30.029	15.3327	25.5579	17.8625	16.4122	18.0637	6.11369	8.79362	0.628377	12.4142	12.3202	32.446	37.7879	30.3829	1.47227	9.05755	18.4617	19.0496	27.8769	7.56112	2.47955	17.6036	19.3525	8.6245	22.3355	17.7538	0.814911	0.367241	-0.339579	0.23306	-0.180688	-0.217906	-0.286093	-2.127804	-0.151077	-0.170674	-0.64865	-0.097759	-1.253592	0.541839	-0.272018	0.167077	-3.358098	0.217042	-0.844888	0.256952	0.278876	0.285902	-1.002908	0.323488	-0.697553	0.287663	0.300457	0.320229	0.173351	0.157763	-0.231765	0.571689	0.15	-0.261906	0.668177	-0.158265	0.292007	-1.153997	-0.393128	0.214611	0.268673	0.2094	1.870355	-0.227262	0.562422	-0.109779	0.419409	-6.643856	-2.66582	0.577688	0.11474	0.500360572	0	0	0	0.500360572	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.87341017	7.73914	10.2862	6.02432	0.000143297256551118	0	24386	NA	NA	81.7627	1	0.275690168	0	0	NA	NA	3	0.484849159	0.02	0.994	NA	4.584439	0.998830135494617	0.642648272141558	4.23	4.23	0.999999499473654	0.525922	0.5504	0.1749	NA	0.661785	NA	0.651	0.867	NA	0.99698	0.706298	NA	NA	NA	NA	7.34183	1.1924	14	3.41029	most likely
PLEKHG1	0.221	0.371	0.11	NA	1165	0.6636	34.397940008672	22.6491	21.0631	1.50657	5.74121	6.84552	4.31374	12.0998	3.49358	3.82463	4.05692	1.29105	1.61489	4.22805	4.04687	3.40074	3.94211	3.64938	3.02269	15.6099	5.89859	20.514	0.629459	2.06154	9.56321	10.121	5.30914	5.86318	4.84068	9.01978	5.02953	12.4979	3.49656	2.96448	3.69312	9.29399	2.22771	17.943	5.17332	2.28006	13.1289	5.50061	0.904545	4.99302	4.18792	11.1971	13.145	9.28397	31.2524	3.04858	8.87637	11.3328	9.70288	9.91052	0.69337	-0.12814	0.185828	0.222601	-0.648638	0.496678	0.21011	-0.478344	-0.396594	0.349229	0.351014	-0.441673	0.221641	-0.345178	-0.205854	0.229777	0.564987	0.254295	-0.276724	-1.960774	0.142447	0.835246	0.589429	0.482374	0.165707	-0.722628	0.131098	0.168101	-0.239709	0.212139	-0.489776	0.252245	0.2512	-0.782108	0.172905	0.202484	-4.38358	-0.499138	0.704026	0.384339	0.094279	-0.188398	0.238683	0.222205	-0.381608	-0.245486	0.200384	0.286875	-1.572493	-0.293496	0.010694	0	0	0	0	0	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	NA	NA	1.61745951	6.1947	11.4672	9.56053	0.000178677408303547	38	243800	NA	NA	721.7254	NA	0.443194807	1	0	NA	NA	NA	NA	NA	NA	0.631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47504	NA	NA	2.89592	3.30085	1.35931	894	1.27177	possible
PLET1	NA	NA	NA	NA	18	0.2175	NA	0.0514597	0	0.0684337	0	0	0	0	0	0	0	0.0498635	0.0689859	0	0	0	0	0	0	0	0	0.0485461	0	0	0	0.079841	0	0	0	0	0	0	0	0	0	0.0170314	0	0	0.0596666	0	0.0732194	0.0715085	0	0.247242	0	0.101159	0.104486	0.0448548	0	0	0.0867021	0.042957	0.045799	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.643856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0.793478	0.01775	0.018	4.81544009	7.76694	11.4871	8.13272	NA	NA	12707	NA	NA	134.29607	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86163	11.0453	1.17715	NA	NA	least likely
PPM1A	NA	NA	NA	NA	35	-0.3834	15.5228787452803	17.0048	12.4564	8.78881	18.5438	17.2718	23.2814	15.6489	7.99244	10.5654	8.50844	29.8343	22.728	11.718	17.8327	7.6737	12.1049	8.81352	7.37175	12.5749	10.0981	15.3306	13.0503	28.6974	20.037	19.302	18.063	15.1536	18.5552	10.6059	18.1102	18.1338	9.56726	9.15798	7.37342	8.45578	7.34216	15.8307	14.8306	23.5986	20.9602	16.3415	5.10119	14.9695	16.3749	15.1708	15.5463	16.5112	11.0556	9.74559	30.8434	15.1992	22.8588	16.1748	12.1307	0.142103	0.083933	0.117845	0.072021	-0.102734	0.036803	0.127486	0.158363	0.113591	0.082783	0.156192	0.154901	0.096268	0.138467	0.107593	0.079176	0.094354	-0.084895	0.10989	0.101575	0.139588	0.308634	0.295257	0.230025	0.089446	0.060444	0.062608	0.173461	0.058546	0.501553	-0.05343	0.095219	-0.441278	0.202907	0.141316	-0.569343	0.119895	0.246696	-0.109361	0.16101	0.187076	-0.530295	0.187452	0.130285	-0.209695	0.084417	0.44712	-0.232643	0.327376	0.087287	0.514240382	0	0.514240382	0	0.502972772	2	1	2	NA	NA	-0.36	NA	NA	NA	NA	NA	NA	4.90475214	8.80021	20.9502	17.163	0.985449561262778	0	53335	NA	NA	15.56407	1	0.794491291	0	0	6.22782554203238	NA	NA	2.238951231	NA	NA	0.288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.40741	FALSE	NA	3.12894	23.7165	1.44625	86	2.93009	probable
PPP3CA	NA	NA	NA	NA	651	0.4462	12	34.3603	25.0694	20.3513	18.8771	21.4065	22.6147	25.5277	39.9393	73.2083	155.414	183.152	106.023	88.193	158.051	68.331	29.2912	140.031	114.318	13.4656	14.2626	29.5648	31.7797	14.0476	30.5497	23.9398	18.9909	14.0711	16.3442	11.1587	15.4585	19.3728	7.3242	4.56806	5.36276	7.0803	5.15203	23.4187	23.1706	16.9314	33.2869	22.7154	5.03679	14.8009	50.7318	27.5558	28.5064	15.1408	14.8404	13.7729	11.763	19.452	20.0987	27.8327	12.4901	0.188235	0.074986	-0.602905	-0.099988	0.386202	-0.238478	-0.210997	0.211758	-0.77249	0.158224	0.156778	-0.066979	0.473658	0.301761	-0.113575	-0.258196	0.072128	-0.208492	-0.109533	0.067522	-0.098237	0.215541	-0.482725	0.312155	-0.089235	0.053513	-0.104185	-0.437489	-0.116991	0.263386	0.652654	0.263058	0.526087	-0.080422	-0.073878	0.525347	0.098853	-0.113886	-0.401689	0.08388	0.269724	-0.122759	0.102534	0.389367	-0.26977	0.107921	-0.863835	-0.518006	0.093292	0.0011774	0.502114215	0	0	0	0.502114215	1	NA	NA	NA	NA	-0.43	NA	NA	NA	NA	NA	NA	8.79676704	8.91752	9.12527	8.4316	0.998148788702111	5	324869	NA	NA	6.37885	1	0.824708164	0	0	NA	NA	NA	NA	NA	NA	0.0811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27418	FALSE	NA	NA	7.17422	1.47446	611	2.30874	probable
PPP3CB	NA	NA	NA	NA	36	0.3955	NA	38.5792	30.545	25.5312	47.4173	44.9563	59.0831	45.3798	26.472	42.1102	28.0636	120.588	72.8534	44.302	86.693	29.3291	28.95	36.8283	19.8312	25.7679	17.8959	31.7221	42.0868	35.7591	53.5452	46.6251	51.1376	25.1412	45.6588	18.3043	46.808	49.3274	18.5275	15.8126	11.2124	15.0228	6.63453	25.7364	21.0166	70.6082	43.9492	47.8801	9.84122	39.5826	32.0334	21.0066	22.5435	23.7777	23.4594	16.6725	28.35	26.2722	55.8868	30.2344	8.1806	0.056021	0.208608	-0.109068	0.206179	-0.235187	-0.099619	-0.144045	0.375836	0.137108	-0.031317	0.182344	-0.239946	0.069656	-0.19047	0.311371	-0.39611	-0.263519	0.47187	-0.201475	-0.240991	0.048395	0.390848	-0.080235	-0.106626	0.173475	0.062287	-0.130558	-0.1711	0.068964	-0.465575	-1.246819	0.067419	0.046012	-0.076129	-0.111244	0.20768	-0.153788	-0.050797	-0.218639	-0.166186	0.053832	-0.222415	-0.280332	-0.159565	-0.028757	0.074178	0.20235	0.347589	0.021611	0.020535	0.502068272	0	0.479453267	0	0.502068272	1	NA	NA	NA	NA	-0.14	NA	NA	NA	NA	NA	NA	6.7860231	5.58003	43.5161	14.6368	0.9997036494233	2	59596	NA	NA	21.40368	1	0.794239461	1	1	NA	NA	NA	0.6395414	0.24	1	0.156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	39.1052	1.25347	14	1.5996	probable
PRAMEF1	NA	NA	NA	NA	1084	-0.4041	5.30102999566398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548622	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.070051	NA	NA	NA	NA	0.048906	0	0	0	0	0	NA	NA	NA	NA	NA	1.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0981051636001553	NA	5231	NA	NA	173.2434	NA	0.25535503	0	0	NA	NA	NA	0.808850207	NA	NA	0.994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0892	NA	NA	NA	NA	NA	NA	NA	least likely
